Currency ISO Code,Default Search Category,Description,Expanded By Default,Guide Page,Hide All Search Filters,Is Hidden,Is Leaf,Is Picklist,Label,Large Image Size,Left,Level,Long Description,Max Options,Min Options,Modifiable,Name,Product Count,Right,Search Filter Fields,Apttus_Config2__HierarchyId__r.Category Name,Apttus_Config2__AncestorId__r.Name,Apttus_Config2__PrimordialId__r.Name,Apttus_Config2__ProductAttributeGroupId__r.Group Name
"CHF","false","","false","","false","false","Yes","false","Activities","","1.0","0.0","","1.0","1.0","true","LT Activities","24.0","2.0","","LT Activities","","",""
"CHF","false","","false","","false","false","Yes","false","Seattle Accommodation","","1.0","0.0","","1.0","1.0","true","Seattle Accommodation","17.0","2.0","","Seattle Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Insurance","","1.0","0.0","","1.0","1.0","true","Bournemouth Insurance","11.0","2.0","","Bournemouth Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Travel","","1.0","0.0","","1.0","1.0","true","Bournemouth Travel","30.0","2.0","","Bournemouth Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Other","","1.0","0.0","","1.0","1.0","true","Bournemouth Other","22.0","2.0","","Bournemouth Other","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Courses","","1.0","0.0","","1.0","1.0","true","Brisbane Courses","33.0","2.0","","Brisbane Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Accommodation","","1.0","0.0","","1.0","1.0","true","Brisbane Accommodation","17.0","2.0","","Brisbane Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Insurance","","1.0","0.0","","1.0","1.0","true","Brisbane Insurance","13.0","2.0","","Brisbane Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Travel","","1.0","0.0","","1.0","1.0","true","Brisbane Travel","13.0","2.0","","Brisbane Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Other","","1.0","0.0","","1.0","1.0","true","Brisbane Other","20.0","2.0","","Brisbane Other","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Courses","","1.0","0.0","","1.0","1.0","true","Bristol Courses","54.0","2.0","","Bristol Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Accommodation","","1.0","0.0","","1.0","1.0","true","Bristol Accommodation","20.0","2.0","","Bristol Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Insurance","","1.0","0.0","","1.0","1.0","true","Bristol Insurance","10.0","2.0","","Bristol Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Travel","","1.0","0.0","","1.0","1.0","true","Bristol Travel","27.0","2.0","","Bristol Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Other","","1.0","0.0","","1.0","1.0","true","Bristol Other","20.0","2.0","","Bristol Other","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Courses","","1.0","0.0","","1.0","1.0","true","Chicago Courses","51.0","2.0","","Chicago Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Accommodation","","1.0","0.0","","1.0","1.0","true","Chicago Accommodation","19.0","2.0","","Chicago Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Insurance","","1.0","0.0","","1.0","1.0","true","Chicago Insurance","11.0","2.0","","Chicago Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Travel","","1.0","0.0","","1.0","1.0","true","Chicago Travel","10.0","2.0","","Chicago Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Other","","1.0","0.0","","1.0","1.0","true","Chicago Other","12.0","2.0","","Chicago Other","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Courses","","1.0","0.0","","1.0","1.0","true","Costa Rica Courses","41.0","2.0","","Costa Rica Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Accommodation","","1.0","0.0","","1.0","1.0","true","Costa Rica Accommodation","25.0","2.0","","Costa Rica Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Insurance","","1.0","0.0","","1.0","1.0","true","Costa Rica Insurance","10.0","2.0","","Costa Rica Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Travel","","1.0","0.0","","1.0","1.0","true","Costa Rica Travel","13.0","2.0","","Costa Rica Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Other","","1.0","0.0","","1.0","1.0","true","Costa Rica Other","15.0","2.0","","Costa Rica Other","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Courses","","1.0","0.0","","1.0","1.0","true","Dublin Courses","35.0","2.0","","Dublin Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Accommodation","","1.0","0.0","","1.0","1.0","true","Dublin Accommodation","26.0","2.0","","Dublin Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Insurance","","1.0","0.0","","1.0","1.0","true","Dublin Insurance","10.0","2.0","","Dublin Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Travel","","1.0","0.0","","1.0","1.0","true","Dublin Travel","10.0","2.0","","Dublin Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Other","","1.0","0.0","","1.0","1.0","true","Dublin Other","15.0","2.0","","Dublin Other","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Accommodation","","1.0","0.0","","1.0","1.0","true","Boston Accommodation","20.0","2.0","","Boston Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Insurance","","1.0","0.0","","1.0","1.0","true","Boston Insurance","11.0","2.0","","Boston Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Travel","","1.0","0.0","","1.0","1.0","true","Boston Travel","10.0","2.0","","Boston Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Other","","1.0","0.0","","1.0","1.0","true","Boston Other","19.0","2.0","","Boston Other","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Courses","","1.0","0.0","","1.0","1.0","true","Bournemouth Courses","45.0","2.0","","Bournemouth Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Accommodation","","1.0","0.0","","1.0","1.0","true","Bournemouth Accommodation","21.0","2.0","","Bournemouth Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Malta St. Julian's Travel","","1.0","0.0","","1.0","1.0","true","Malta St. Julian's Travel","9.0","2.0","","Malta St. Julian's Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Malta St. Julian's Other","","1.0","0.0","","1.0","1.0","true","Malta St. Julian's Other","14.0","2.0","","Malta St. Julian's Other","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Courses","","1.0","0.0","","1.0","1.0","true","Miami Courses","43.0","2.0","","Miami Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Accommodation","","1.0","0.0","","1.0","1.0","true","Miami Accommodation","16.0","2.0","","Miami Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Insurance","","1.0","0.0","","1.0","1.0","true","Miami Insurance","10.0","2.0","","Miami Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Travel","","1.0","0.0","","1.0","1.0","true","Miami Travel","13.0","2.0","","Miami Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Miami Other","","1.0","0.0","","1.0","1.0","true","Miami Other","20.0","2.0","","Miami Other","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Courses","","1.0","0.0","","1.0","1.0","true","Oxford Courses","33.0","2.0","","Oxford Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Accommodation","","1.0","0.0","","1.0","1.0","true","Oxford Accommodation","15.0","2.0","","Oxford Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Insurance","","1.0","0.0","","1.0","1.0","true","Oxford Insurance","10.0","2.0","","Oxford Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Travel","","1.0","0.0","","1.0","1.0","true","Oxford Travel","25.0","2.0","","Oxford Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Oxford Other","","1.0","0.0","","1.0","1.0","true","Oxford Other","14.0","2.0","","Oxford Other","","",""
"CHF","false","","false","","false","false","Yes","false","Paris Courses","","1.0","0.0","","1.0","1.0","true","Paris Courses","52.0","2.0","","Paris Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Paris Accommodation","","1.0","0.0","","1.0","1.0","true","Paris Accommodation","20.0","2.0","","Paris Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Paris Insurance","","1.0","0.0","","1.0","1.0","true","Paris Insurance","10.0","2.0","","Paris Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Honolulu Courses","","1.0","0.0","","1.0","1.0","true","Honolulu Courses","55.0","2.0","","Honolulu Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Honolulu Accommodation","","1.0","0.0","","1.0","1.0","true","Honolulu Accommodation","18.0","2.0","","Honolulu Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Honolulu Insurance","","1.0","0.0","","1.0","1.0","true","Honolulu Insurance","10.0","2.0","","Honolulu Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Honolulu Travel","","1.0","0.0","","1.0","1.0","true","Honolulu Travel","9.0","2.0","","Honolulu Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Honolulu Other","","1.0","0.0","","1.0","1.0","true","Honolulu Other","15.0","2.0","","Honolulu Other","","",""
"CHF","false","","false","","false","false","Yes","false","London Courses","","1.0","0.0","","1.0","1.0","true","London Courses","52.0","2.0","","London Courses","","",""
"CHF","false","","false","","false","false","Yes","false","London Accommodation","","1.0","0.0","","1.0","1.0","true","London Accommodation","25.0","2.0","","London Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","London Insurance","","1.0","0.0","","1.0","1.0","true","London Insurance","10.0","2.0","","London Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","London Travel","","1.0","0.0","","1.0","1.0","true","London Travel","25.0","2.0","","London Travel","","",""
"CHF","false","","false","","false","false","Yes","false","London Other","","1.0","0.0","","1.0","1.0","true","London Other","17.0","2.0","","London Other","","",""
"CHF","false","","false","","false","false","Yes","false","Malta St. Julian's Courses","","1.0","0.0","","1.0","1.0","true","Malta St. Julian's Courses","44.0","2.0","","Malta St. Julian's Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Courses","","1.0","0.0","","1.0","1.0","true","Boston Courses","57.0","2.0","","Boston Courses","","",""
"CHF","false","","false","","false","false","Yes","false","San Francisco Down Town Other","","1.0","0.0","","1.0","1.0","true","San Francisco Down Town Other","17.0","2.0","","San Francisco Down Town Other","","",""
"CHF","false","","false","","false","false","Yes","false","Santa Barbara Courses","","1.0","0.0","","1.0","1.0","true","Santa Barbara Courses","44.0","2.0","","Santa Barbara Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Santa Barbara Accommodation","","1.0","0.0","","1.0","1.0","true","Santa Barbara Accommodation","14.0","2.0","","Santa Barbara Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Santa Barbara Insurance","","1.0","0.0","","1.0","1.0","true","Santa Barbara Insurance","10.0","2.0","","Santa Barbara Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Malta St. Julian's Accommodation","","1.0","0.0","","1.0","1.0","true","Malta St. Julian's Accommodation","42.0","2.0","","Malta St. Julian's Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Malta St. Julian's Insurance","","1.0","0.0","","1.0","1.0","true","Malta St. Julian's Insurance","10.0","2.0","","Malta St. Julian's Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Singapore Accommodation","","1.0","0.0","","1.0","1.0","true","Singapore Accommodation","23.0","2.0","","Singapore Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Singapore Insurance","","1.0","0.0","","1.0","1.0","true","Singapore Insurance","10.0","2.0","","Singapore Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Singapore Travel","","1.0","0.0","","1.0","1.0","true","Singapore Travel","11.0","2.0","","Singapore Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Singapore Other","","1.0","0.0","","1.0","1.0","true","Singapore Other","18.0","2.0","","Singapore Other","","",""
"CHF","false","","false","","false","false","Yes","false","Saint Raphaël Courses","","1.0","0.0","","1.0","1.0","true","Saint Raphaël Courses","2.0","2.0","","Saint Raphaël Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Saint Raphaël Accommodation","","1.0","0.0","","1.0","1.0","true","Saint Raphaël Accommodation","6.0","2.0","","Saint Raphaël Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Saint Raphaël Insurance","","1.0","0.0","","1.0","1.0","true","Saint Raphaël Insurance","10.0","2.0","","Saint Raphaël Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Saint Raphaël Travel","","1.0","0.0","","1.0","1.0","true","Saint Raphaël Travel","9.0","2.0","","Saint Raphaël Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Saint Raphaël Other","","1.0","0.0","","1.0","1.0","true","Saint Raphaël Other","11.0","2.0","","Saint Raphaël Other","","",""
"CHF","false","","false","","false","false","Yes","false","Santa Barbara Other","","1.0","0.0","","1.0","1.0","true","Santa Barbara Other","19.0","2.0","","Santa Barbara Other","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Courses","","1.0","0.0","","1.0","1.0","true","Auckland Courses","37.0","2.0","","Auckland Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Barcelona Accommodation","","1.0","0.0","","1.0","1.0","true","Barcelona Accommodation","28.0","2.0","","Barcelona Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Accommodation","","1.0","0.0","","1.0","1.0","true","Auckland Accommodation","25.0","2.0","","Auckland Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Barcelona Other","","1.0","0.0","","1.0","1.0","true","Barcelona Other","21.0","2.0","","Barcelona Other","","",""
"CHF","false","","false","","false","false","Yes","false","Paris Travel","","1.0","0.0","","1.0","1.0","true","Paris Travel","19.0","2.0","","Paris Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Paris Other","","1.0","0.0","","1.0","1.0","true","Paris Other","15.0","2.0","","Paris Other","","",""
"CHF","false","","false","","false","false","Yes","false","San Diego Point Loma Courses","","1.0","0.0","","1.0","1.0","true","San Diego Point Loma Courses","54.0","2.0","","San Diego Point Loma Courses","","",""
"CHF","false","","false","","false","false","Yes","false","San Diego Point Loma Accommodation","","1.0","0.0","","1.0","1.0","true","San Diego Point Loma Accommodation","16.0","2.0","","San Diego Point Loma Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","San Diego Point Loma Insurance","","1.0","0.0","","1.0","1.0","true","San Diego Point Loma Insurance","10.0","2.0","","San Diego Point Loma Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","San Diego Point Loma Travel","","1.0","0.0","","1.0","1.0","true","San Diego Point Loma Travel","10.0","2.0","","San Diego Point Loma Travel","","",""
"CHF","false","","false","","false","false","Yes","false","San Diego Point Loma Other","","1.0","0.0","","1.0","1.0","true","San Diego Point Loma Other","16.0","2.0","","San Diego Point Loma Other","","",""
"CHF","false","","false","","false","false","Yes","false","San Francisco Down Town Courses","","1.0","0.0","","1.0","1.0","true","San Francisco Down Town Courses","52.0","2.0","","San Francisco Down Town Courses","","",""
"CHF","false","","false","","false","false","Yes","false","San Francisco Down Town Accommodation","","1.0","0.0","","1.0","1.0","true","San Francisco Down Town Accommodation","18.0","2.0","","San Francisco Down Town Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","San Francisco Down Town Insurance","","1.0","0.0","","1.0","1.0","true","San Francisco Down Town Insurance","10.0","2.0","","San Francisco Down Town Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","San Francisco Down Town Travel","","1.0","0.0","","1.0","1.0","true","San Francisco Down Town Travel","16.0","2.0","","San Francisco Down Town Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Brighton Courses","","1.0","0.0","","1.0","1.0","true","Brighton Courses","50.0","2.0","","Brighton Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Brighton Accommodation","","1.0","0.0","","1.0","1.0","true","Brighton Accommodation","30.0","2.0","","Brighton Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Brighton Insurance","","1.0","0.0","","1.0","1.0","true","Brighton Insurance","10.0","2.0","","Brighton Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Brighton Travel","","1.0","0.0","","1.0","1.0","true","Brighton Travel","33.0","2.0","","Brighton Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Brighton Other","","1.0","0.0","","1.0","1.0","true","Brighton Other","42.0","2.0","","Brighton Other","","",""
"CHF","false","","false","","false","false","Yes","false","Santa Barbara Travel","","1.0","0.0","","1.0","1.0","true","Santa Barbara Travel","13.0","2.0","","Santa Barbara Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Singapore Courses","","1.0","0.0","","1.0","1.0","true","Singapore Courses","54.0","2.0","","Singapore Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Cambridge Insurance","","1.0","0.0","","1.0","1.0","true","Cambridge Insurance","10.0","2.0","","Cambridge Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Cambridge Travel","","1.0","0.0","","1.0","1.0","true","Cambridge Travel","32.0","2.0","","Cambridge Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Cambridge Other","","1.0","0.0","","1.0","1.0","true","Cambridge Other","42.0","2.0","","Cambridge Other","","",""
"CHF","false","","false","","false","false","Yes","false","Cape Town Courses","","1.0","0.0","","1.0","1.0","true","Cape Town Courses","50.0","2.0","","Cape Town Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Cape Town Accommodation","","1.0","0.0","","1.0","1.0","true","Cape Town Accommodation","30.0","2.0","","Cape Town Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Cape Town Insurance","","1.0","0.0","","1.0","1.0","true","Cape Town Insurance","10.0","2.0","","Cape Town Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Cape Town Travel","","1.0","0.0","","1.0","1.0","true","Cape Town Travel","12.0","2.0","","Cape Town Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Cape Town Other","","1.0","0.0","","1.0","1.0","true","Cape Town Other","45.0","2.0","","Cape Town Other","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Courses","","1.0","0.0","","1.0","1.0","true","Clare College Courses","8.0","2.0","","Clare College Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Accommodation","","1.0","0.0","","1.0","1.0","true","Clare College Accommodation","25.0","2.0","","Clare College Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Insurance","","1.0","0.0","","1.0","1.0","true","Clare College Insurance","10.0","2.0","","Clare College Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Travel","","1.0","0.0","","1.0","1.0","true","Clare College Travel","33.0","2.0","","Clare College Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Other","","1.0","0.0","","1.0","1.0","true","Clare College Other","42.0","2.0","","Clare College Other","","",""
"CHF","false","","false","","false","false","Yes","false","Eastbourne Courses","","1.0","0.0","","1.0","1.0","true","Eastbourne Courses","50.0","2.0","","Eastbourne Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Barcelona Insurance","","1.0","0.0","","1.0","1.0","true","Barcelona Insurance","11.0","2.0","","Barcelona Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Other","","1.0","0.0","","1.0","1.0","true","Auckland Other","22.0","2.0","","Auckland Other","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Insurance","","1.0","0.0","","1.0","1.0","true","Auckland Insurance","11.0","2.0","","Auckland Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Barcelona Courses","","1.0","0.0","","1.0","1.0","true","Barcelona Courses","42.0","2.0","","Barcelona Courses","","",""
"CHF","false","","true","","false","false","Yes","false","ILS/APP Destinations","","1.0","0.0","","1.0","1.0","true","ILS/APP Destinations","45.0","2.0","","ILS/APP Destinations","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Travel","","1.0","0.0","","1.0","1.0","true","Auckland Travel","10.0","2.0","","Auckland Travel","","",""
"CHF","false","","false","","false","false","Yes","false","General Fees","","1.0","0.0","","99.0","1.0","true","General Fees","11.0","2.0","","General Fees","","",""
"CHF","false","","false","","false","false","Yes","false","Berlin Courses","","1.0","0.0","","1.0","1.0","true","Berlin Courses","58.0","2.0","","Berlin Courses","","",""
